timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,9758,1628820,10573616,0
0.528,9780,2091328,10573616,0
1.055,9780,2091332,10573616,0
1.582,9780,2091340,10573616,0
2.107,9780,2091356,10573616,0
2.634,9780,2091360,10573616,0
3.159,9780,2091364,10573616,0
3.685,9782,2095780,10573616,0
4.211,9782,2095780,10573616,0
4.737,9782,2095272,10573616,0
5.263,9782,2095272,10573616,0
5.789,9782,2095272,10573616,0
6.315,9782,2095272,10573616,0
6.839,9782,2095276,10573616,0
7.366,9782,2095276,10573616,0
7.892,9782,2095276,10573616,0
8.419,9782,2095280,10573616,0
8.945,9782,2095280,10573616,0
9.471,9782,2095280,10573616,0
9.998,9782,2095280,10573616,0
10.524,9782,2095284,10573616,0
11.050,9782,2095284,10573616,0
11.576,9782,2095284,10573616,0
12.102,9782,2095284,10573616,0
12.625,9782,2095288,10573616,0
13.151,9782,2095288,10573616,0
13.678,9782,2095288,10573616,0
14.205,9782,2095292,10573616,0
14.730,9782,2095292,10573616,0
15.253,9782,2095292,10573616,0
15.780,9782,2095292,10573616,0
16.306,9782,2095296,10573616,0
16.832,9782,2095296,10573616,0
17.358,9782,2095296,10573616,0
17.881,9782,2095296,10573616,0
18.407,9782,2095300,10573616,0
18.932,9782,2095300,10573616,0
19.458,9782,2095300,10573616,0
19.985,9782,2095304,10573616,0
20.509,9782,2095304,10573616,0
21.035,9782,2095304,10573616,0
21.562,9782,2095304,10573616,0
22.088,9782,2095308,10573616,0
22.614,9782,2095308,10573616,0
23.141,9782,2095308,10573616,0
23.667,9782,2095308,10573616,0
24.191,9782,2095312,10573616,0
24.717,9782,2095312,10573616,0
25.243,9782,2093168,10573616,0
25.768,9782,2093168,10573616,0
26.295,9782,2093168,10573616,0
26.821,9782,2093168,10573616,0
27.346,9782,2093236,10573616,0
27.870,9782,2093236,10573616,0
28.395,9782,2093240,10573616,0
28.922,9782,2093240,10573616,0
29.449,9782,2093240,10573616,0
29.974,9782,2093240,10573616,0
30.500,9782,2093244,10573616,0
31.024,9782,2093244,10573616,0
31.551,9782,2093244,10573616,0
