timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,9758,1613044,10573336,0
0.527,9780,2080344,10573336,0
1.054,9780,2080348,10573336,0
1.580,9780,2080356,10573336,0
2.107,9780,2080376,10573336,0
2.633,9780,2080384,10573336,0
3.160,9780,2080384,10573336,0
3.687,9780,2080396,10573336,0
4.212,9780,2080396,10573336,0
4.739,9780,2084812,10573336,0
5.264,9780,2084812,10573336,0
5.792,9780,2084812,10573336,0
6.318,9780,2084812,10573336,0
6.845,9780,2084816,10573336,0
7.370,9780,2084816,10573336,0
7.896,9780,2084816,10573336,0
8.424,9780,2084820,10573336,0
8.951,9780,2084820,10573336,0
9.474,9780,2084820,10573336,0
10.001,9780,2084820,10573336,0
10.525,9780,2084952,10573336,0
