timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,9748,1592636,10589344,0
0.525,9772,1768600,10589344,0
1.053,9804,1785816,10589344,0
1.574,9804,1785876,10589344,0
2.099,9804,1786244,10589344,0
2.624,9804,1786244,10589344,0
3.149,9804,1786244,10589344,0
3.675,9804,1786456,10589344,0
4.200,9804,1786456,10589344,0
4.725,9804,1786456,10589344,0
5.250,9804,1786648,10589344,0
5.772,9804,1786648,10589344,0
6.298,9804,1786648,10589344,0
6.824,9804,1786648,10589344,0
7.349,9804,1786872,10589344,0
7.876,9804,1786872,10589344,0
8.403,9804,1786872,10589344,0
8.929,9804,1786872,10589344,0
9.454,9804,1786876,10589344,0
9.979,9806,1924112,10589344,0
10.502,9806,2094252,10589344,0
11.030,9822,2130484,10589344,0
11.557,9822,2130488,10589344,0
