timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11206,3330408,10579808,0
0.528,11230,4096392,10579808,0
1.054,11258,4120808,10579808,0
1.578,11258,4120968,10579808,0
2.102,11258,4007528,10579808,0
2.627,11258,4123080,10579808,0
3.153,11258,4123084,10579808,0
3.681,11258,4123444,10579808,0
4.207,11258,4123444,10579808,0
4.732,11258,4123444,10579808,0
5.260,11258,4124308,10579808,0
5.786,11258,4124308,10579808,0
6.312,11258,4124312,10579808,0
6.839,11258,4124312,10579808,0
7.365,11258,4124316,10579808,0
7.891,11258,4124316,10579808,0
8.419,11258,4124316,10579808,0
8.944,11258,4124320,10579808,0
9.471,11258,4124704,10579808,0
9.995,11258,4124708,10579808,0
10.521,11258,4125048,10579808,0
11.045,11258,4125048,10579808,0
11.573,11258,4125052,10579808,0
12.100,11258,4125052,10579808,0
12.626,11258,4125712,10579808,0
13.151,11258,4125716,10579808,0
13.676,11258,4125716,10579808,0
14.199,11258,4125720,10579808,0
14.722,11258,4125720,10579808,0
15.250,11258,4125720,10579808,0
15.774,11258,4125724,10579808,0
16.300,11258,4125724,10579808,0
16.827,11258,4125728,10579808,0
17.355,11258,4125728,10579808,0
17.883,11258,4125728,10579808,0
18.407,11258,4125728,10579808,0
18.932,11258,4125728,10579808,0
19.459,11258,4125728,10579808,0
19.982,11258,4125728,10579808,0
20.506,11258,4125728,10579808,0
21.033,11258,4125728,10579808,0
21.559,11258,4125728,10579808,0
22.085,11258,4125728,10579808,0
22.609,11258,4125728,10579808,0
23.133,11258,4125728,10579808,0
23.657,11258,4125728,10579808,0
24.183,11258,4125728,10579808,0
24.708,11258,4125728,10579808,0
25.232,11258,4125728,10579808,0
25.755,11258,4125728,10579808,0
26.278,11258,4125728,10579808,0
26.806,11258,4125728,10579808,0
27.330,11258,4125728,10579808,0
27.854,11258,4125728,10579808,0
28.380,11258,4125728,10579808,0
28.906,11258,4125728,10579808,0
29.430,11258,4125728,10579808,0
29.956,11258,4125728,10579808,0
30.479,11258,4125728,10579808,0
31.007,11258,4125728,10579808,0
31.531,11258,4126700,10579808,0
32.056,11258,4126700,10579808,0
32.583,11258,4126700,10579808,0
33.112,11258,4126700,10579808,0
33.637,11258,4126700,10579808,0
34.165,11258,4126700,10579808,0
34.689,11258,4126700,10579808,0
35.215,11258,4126700,10579808,0
35.743,11258,4127056,10579808,0
36.266,11258,4127056,10579808,0
36.793,11258,4127056,10579808,0
37.317,11258,4127056,10579808,0
37.843,11258,4127056,10579808,0
38.369,11258,4127056,10579808,0
38.895,11258,4127056,10579808,0
39.421,11258,4127056,10579808,0
39.949,11258,4127056,10579808,0
40.476,11258,4127056,10579808,0
41.001,11258,4127056,10579808,0
41.529,11258,4127056,10579808,0
42.056,11258,4127056,10579808,0
42.580,11258,4127056,10579808,0
43.106,11258,4127056,10579808,0
43.632,11258,4127056,10579808,0
44.160,11258,4127056,10579808,0
44.686,11258,4127056,10579808,0
45.211,11258,4127056,10579808,0
45.739,11258,4127056,10579808,0
46.267,11258,4127056,10579808,0
46.792,11258,4127056,10579808,0
47.318,11258,4127056,10579808,0
47.845,11258,4127056,10579808,0
48.371,11258,4127056,10579808,0
48.897,11258,4127056,10579808,0
49.424,11258,4127056,10579808,0
49.952,11258,4127056,10579808,0
50.478,11258,4127056,10579808,0
51.005,11258,4127056,10579808,0
51.532,11258,4130064,10579808,0
52.058,11258,4130064,10579808,0
52.585,11258,4130064,10579808,0
53.113,11258,4130064,10579808,0
53.641,11258,4130064,10579808,0
54.167,11258,4130064,10579808,0
54.695,11258,4130064,10579808,0
55.222,11258,4130064,10579808,0
55.748,11258,4130064,10579808,0
56.275,11258,4130064,10579808,0
56.802,11258,4130064,10579808,0
57.328,11258,4130064,10579808,0
57.856,11258,4130064,10579808,0
58.379,11258,4130064,10579808,0
58.907,11258,4130064,10579808,0
59.434,11258,4130064,10579808,0
59.961,11258,4130064,10579808,0
60.486,11258,4130064,10579808,0
61.011,11258,4130064,10579808,0
61.539,11258,4130064,10579808,0
62.065,11258,4130064,10579808,0
62.588,11258,4130064,10579808,0
63.116,11258,4130064,10579808,0
63.642,11258,4130064,10579808,0
64.167,11258,4130064,10579808,0
64.692,11258,4130064,10579808,0
65.219,11258,4130064,10579808,0
65.745,11258,4130064,10579808,0
66.268,11258,4130064,10579808,0
66.794,11258,4130064,10579808,0
67.322,11258,4130064,10579808,0
67.849,11258,4130064,10579808,0
68.373,11258,4130064,10579808,0
68.900,11258,4130064,10579808,0
69.423,11258,4130064,10579808,0
69.948,11258,4130064,10579808,0
70.474,11258,4130064,10579808,0
71.001,11258,4130064,10579808,0
71.526,11258,4130064,10579808,0
72.053,11258,4130064,10579808,0
72.580,11258,4130064,10579808,0
73.107,11258,4130064,10579808,0
73.632,11258,4130064,10579808,0
74.159,11258,4130064,10579808,0
74.684,11258,4130064,10579808,0
75.207,11258,4130064,10579808,0
75.730,11258,4130064,10579808,0
76.258,11258,4130064,10579808,0
76.785,11258,4130064,10579808,0
77.311,11258,4130064,10579808,0
77.835,11258,4130064,10579808,0
78.363,11258,4130064,10579808,0
78.891,11258,4130064,10579808,0
79.418,11258,4130064,10579808,0
79.946,11258,4130064,10579808,0
80.469,11258,4130064,10579808,0
80.993,11258,4130088,10579808,0
81.522,11258,4130088,10579808,0
82.049,11258,4130088,10579808,0
82.576,11258,4130088,10579808,0
83.103,11258,4130088,10579808,0
83.628,11258,4130088,10579808,0
84.155,11258,4130088,10579808,0
84.681,11258,4130088,10579808,0
85.206,11258,4130088,10579808,0
85.733,11258,4130088,10579808,0
86.261,11258,4130088,10579808,0
86.785,11258,4130088,10579808,0
87.313,11258,4130088,10579808,0
87.839,11258,4130088,10579808,0
88.366,11258,4130088,10579808,0
88.894,11258,4130088,10579808,0
89.421,11258,4130088,10579808,0
89.947,11258,4130088,10579808,0
90.473,11258,4130088,10579808,0
90.999,11258,4130088,10579808,0
91.527,11258,4130088,10579808,0
92.050,11258,4130088,10579808,0
92.576,11258,4130088,10579808,0
93.103,11258,4130088,10579808,0
93.630,11258,4130088,10579808,0
94.159,11258,4130088,10579808,0
94.685,11258,4130088,10579808,0
95.213,11258,4130088,10579808,0
95.737,11258,4130088,10579808,0
96.264,11258,4130088,10579808,0
96.791,11258,4130088,10579808,0
97.319,11258,4130088,10579808,0
97.846,11258,4130088,10579808,0
98.372,11258,4130088,10579808,0
98.898,11258,4130088,10579808,0
99.427,11258,4130088,10579808,0
99.954,11258,4130088,10579808,0
100.480,11258,4130088,10579808,0
101.005,11258,4130088,10579808,0
101.532,11258,4130088,10579808,0
102.058,11258,4130088,10579808,0
102.585,11258,4130088,10579808,0
103.112,11258,4130088,10579808,0
103.635,11258,4130088,10579808,0
104.158,11258,4130088,10579808,0
104.686,11258,4130240,10579808,0
105.210,11258,4130240,10579808,0
105.734,11258,4130240,10579808,0
106.260,11258,4130240,10579808,0
106.787,11258,4130240,10579808,0
107.310,11258,4130240,10579808,0
107.837,11258,4130240,10579808,0
108.362,11258,4130240,10579808,0
108.890,11258,4130240,10579808,0
109.416,11258,4130240,10579808,0
109.944,11258,4130240,10579808,0
110.470,11258,4130240,10579808,0
110.998,11258,4130240,10579808,0
111.524,11258,4130240,10579808,0
112.052,11258,4130240,10579808,0
112.578,11258,4130240,10579808,0
