timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11206,3316768,10572316,0
0.526,11226,4023692,10572316,0
1.051,11252,4048296,10572316,0
1.578,11252,4051760,10572316,0
2.105,11252,4051776,10572316,0
2.628,11252,4045016,10572316,0
3.152,11254,4045016,10572316,0
3.676,11254,4045020,10572316,0
4.203,11254,4045020,10572316,0
4.728,11254,4046004,10572316,0
5.256,11254,4046012,10572316,0
5.784,11254,4046012,10572316,0
6.310,11254,4046016,10572316,0
6.838,11254,4046016,10572316,0
7.365,11254,4046016,10572316,0
7.891,11254,4046020,10572316,0
8.417,11254,4046020,10572316,0
8.940,11254,4046024,10572316,0
9.468,11254,4046024,10572316,0
9.992,11254,4046028,10572316,0
10.516,11254,4046028,10572316,0
11.044,11254,4046028,10572316,0
11.567,11254,4046032,10572316,0
12.095,11254,4046032,10572316,0
12.623,11254,4046400,10572316,0
13.146,11254,4046404,10572316,0
13.669,11254,4046404,10572316,0
14.193,11254,4046408,10572316,0
14.721,11254,4049240,10572316,0
15.248,11254,4049244,10572316,0
15.773,11254,4050140,10572316,0
16.299,11254,4050140,10572316,0
16.826,11254,4050144,10572316,0
17.351,11254,4050144,10572316,0
17.875,11254,4050144,10572316,0
18.402,11254,4050144,10572316,0
18.926,11254,4050144,10572316,0
19.450,11254,4050144,10572316,0
19.978,11254,4050144,10572316,0
20.503,11254,4050144,10572316,0
21.029,11254,4050144,10572316,0
21.555,11254,4050144,10572316,0
22.083,11254,4050236,10572316,0
22.607,11254,4050236,10572316,0
23.134,11254,4050236,10572316,0
23.662,11254,4050236,10572316,0
24.189,11254,4050236,10572316,0
24.716,11254,4050236,10572316,0
25.242,11254,4050236,10572316,0
25.770,11254,4050236,10572316,0
26.297,11254,4050236,10572316,0
26.824,11254,4050236,10572316,0
27.350,11254,4050236,10572316,0
27.876,11254,4050516,10572316,0
28.399,11254,4050516,10572316,0
28.928,11254,4050516,10572316,0
29.452,11254,4050516,10572316,0
29.980,11254,4050516,10572316,0
30.506,11254,4050516,10572316,0
31.032,11254,4050516,10572316,0
31.560,11254,4050516,10572316,0
32.083,11254,4050516,10572316,0
32.607,11254,4050516,10572316,0
33.133,11254,4050516,10572316,0
33.661,11254,4050516,10572316,0
34.187,11254,4050516,10572316,0
34.714,11254,4050516,10572316,0
35.241,11254,4050520,10572316,0
