timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11142,3296816,10588368,0
0.524,11230,3666264,10588368,0
1.051,11262,3683716,10588368,0
1.576,11262,3683772,10588368,0
2.101,11284,4293532,10588368,0
2.628,11284,4293532,10588368,0
3.150,11284,4293532,10588368,0
3.675,11284,4293532,10588368,0
4.200,11284,4293932,10588368,0
4.725,11284,4293932,10588368,0
5.251,11284,4293932,10588368,0
5.776,11284,4339060,10588368,0
6.304,11284,4294388,10588368,0
6.828,11284,4294392,10588368,0
7.353,11284,4294392,10588368,0
7.877,11284,4294788,10588368,0
8.404,11284,4294788,10588368,0
8.930,11284,4294788,10588368,0
9.455,11284,4294792,10588368,0
9.982,11284,4294984,10588368,0
10.506,11284,4294984,10588368,0
11.032,11284,4295412,10588368,0
11.557,11284,4570816,10588368,0
12.084,11284,4867320,10588368,0
12.608,11310,4888664,10588368,0
13.135,11310,4888920,10588368,0
13.663,11312,4889108,10588368,0
14.188,11312,4890188,10588368,0
14.715,11312,4892968,10588368,0
15.244,11312,4894784,10588368,0
15.772,11312,4894788,10588368,0
16.300,11312,4897912,10588368,0
16.827,11312,4897912,10588368,0
17.356,11312,4897912,10588368,0
17.885,11312,4897912,10588368,0
18.413,11312,4897912,10588368,0
