timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10826,1700140,10577896,0
0.525,10868,2235468,10577896,0
1.049,10868,2240448,10577896,0
1.576,10868,2240536,10577896,0
2.104,10868,2240832,10577896,0
2.630,10868,2245260,10577896,0
3.156,10868,2245260,10577896,0
3.684,10868,2245636,10577896,0
4.209,10868,2245636,10577896,0
4.736,10868,2246100,10577896,0
5.262,10868,2246104,10577896,0
5.789,10868,2246104,10577896,0
6.312,10868,2246108,10577896,0
6.838,10868,2246108,10577896,0
7.365,10868,2246176,10577896,0
7.889,10868,2246176,10577896,0
8.415,10868,2246176,10577896,0
8.941,10868,2246180,10577896,0
9.468,10868,2246180,10577896,0
9.994,10868,2246184,10577896,0
10.519,10868,2246548,10577896,0
11.045,10868,2246552,10577896,0
11.573,10868,2246552,10577896,0
12.100,10868,2246552,10577896,0
12.627,10868,2246556,10577896,0
13.150,10868,2246556,10577896,0
13.676,10868,2246560,10577896,0
14.202,10868,2246560,10577896,0
14.728,10868,2246560,10577896,0
15.255,10868,2246564,10577896,0
15.780,10868,2246564,10577896,0
16.306,10868,2246568,10577896,0
16.832,10868,2246568,10577896,0
17.356,10868,2246568,10577896,0
17.885,10868,2246568,10577896,0
18.412,10868,2246568,10577896,0
18.936,10868,2246568,10577896,0
19.460,10868,2247596,10577896,0
19.986,10868,2247596,10577896,0
20.512,10868,2247596,10577896,0
21.038,10868,2247596,10577896,0
21.565,10868,2247652,10577896,0
22.088,10868,2247652,10577896,0
22.612,10868,2339176,10577896,0
23.138,10868,2339176,10577896,0
23.664,10868,2339176,10577896,0
24.190,10868,2339176,10577896,0
24.714,10868,2339176,10577896,0
