timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10826,1696840,10571860,0
0.527,10866,2209944,10571860,0
1.052,10874,2218740,10571860,0
1.580,10874,2219964,10571860,0
2.105,10874,2219972,10571860,0
2.629,10874,2219972,10571860,0
3.155,10874,2219972,10571860,0
3.683,10874,2224384,10571860,0
4.207,10874,2224484,10571860,0
4.733,10874,2224488,10571860,0
5.259,10874,2224572,10571860,0
5.785,10874,2224512,10571860,0
6.312,10874,2224512,10571860,0
6.838,10874,2224512,10571860,0
7.361,10874,2224516,10571860,0
7.889,10874,2224516,10571860,0
8.415,10874,2224620,10571860,0
8.942,10874,2224620,10571860,0
