timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10826,1667308,10587976,0
0.524,10850,1885912,10587976,0
1.049,10882,1903352,10587976,0
1.574,10882,1903408,10587976,0
2.099,10888,2029172,10587976,0
2.624,10888,2029172,10587976,0
3.149,10888,2029172,10587976,0
3.673,10888,2034400,10587976,0
4.199,10888,2034400,10587976,0
4.721,10888,2034400,10587976,0
5.246,10888,2034400,10587976,0
5.770,10888,2034416,10587976,0
6.296,10888,2034416,10587976,0
6.821,10888,2034416,10587976,0
7.346,10888,2034424,10587976,0
7.871,10888,2034424,10587976,0
8.397,10888,2034424,10587976,0
8.922,10888,2034424,10587976,0
9.447,10888,2034436,10587976,0
9.969,10888,2034436,10587976,0
10.496,10890,2212348,10587976,0
11.022,10890,2366660,10587976,0
