timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,9776,1549384,10511996,0
0.525,9798,2007596,10511996,0
1.051,9798,2007604,10511996,0
1.577,9798,2007608,10511996,0
2.102,9798,2007628,10511996,0
2.627,9798,2007632,10511996,0
3.153,9798,2007632,10511996,0
3.676,9798,2007644,10511996,0
4.202,9798,2007652,10511996,0
4.726,9798,2012536,10511996,0
5.251,9798,2012536,10511996,0
5.777,9798,2012536,10511996,0
6.303,9798,2012540,10511996,0
6.828,9798,2012540,10511996,0
7.354,9798,2012540,10511996,0
7.879,9798,2012544,10511996,0
8.405,9798,2012544,10511996,0
8.931,9798,2012544,10511996,0
9.455,9798,2012544,10511996,0
9.978,9798,2012548,10511996,0
10.505,9798,2012548,10511996,0
