timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,9766,1535012,10530160,0
0.526,9790,1695876,10530160,0
1.051,9824,1713428,10530160,0
1.578,9824,1713488,10530160,0
2.102,9824,1713860,10530160,0
2.627,9824,1713860,10530160,0
3.153,9824,1713860,10530160,0
3.679,9824,1714068,10530160,0
4.205,9824,1714068,10530160,0
4.728,9824,1714068,10530160,0
5.253,9824,1714264,10530160,0
5.778,9824,1714264,10530160,0
6.303,9824,1714264,10530160,0
6.828,9824,1714264,10530160,0
7.355,9824,1714488,10530160,0
7.881,9824,1714488,10530160,0
8.404,9824,1714488,10530160,0
8.927,9824,1714488,10530160,0
9.451,9824,1714488,10530160,0
9.975,9826,1868108,10530160,0
10.500,9826,2042500,10530160,0
11.027,9840,2058108,10530160,0
