timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11224,3247244,10514272,0
0.525,11248,4011704,10514272,0
1.053,11276,4036568,10514272,0
1.579,11276,4036800,10514272,0
2.107,11276,3872556,10514272,0
2.630,11278,4037784,10514272,0
3.154,11278,4039012,10514272,0
3.680,11278,4039096,10514272,0
4.206,11278,4039096,10514272,0
4.730,11278,4039096,10514272,0
5.254,11278,4039096,10514272,0
5.780,11278,4039292,10514272,0
6.305,11278,4039292,10514272,0
6.829,11278,4039292,10514272,0
7.356,11278,4039292,10514272,0
7.881,11278,4039292,10514272,0
8.408,11278,4039292,10514272,0
8.934,11278,4039292,10514272,0
9.461,11278,4040208,10514272,0
9.986,11278,4040208,10514272,0
10.513,11278,4040208,10514272,0
11.037,11278,4040208,10514272,0
11.563,11278,4043120,10514272,0
12.088,11278,4043120,10514272,0
12.612,11278,4043120,10514272,0
13.136,11278,4043120,10514272,0
13.664,11278,4043120,10514272,0
14.191,11278,4043120,10514272,0
14.716,11278,4043120,10514272,0
15.242,11278,4043120,10514272,0
15.765,11278,4043120,10514272,0
16.294,11278,4043120,10514272,0
16.817,11278,4043120,10514272,0
17.344,11278,4043120,10514272,0
17.868,11278,4043120,10514272,0
18.394,11278,4043120,10514272,0
18.918,11278,4043120,10514272,0
19.444,11278,4040976,10514272,0
19.967,11278,4040976,10514272,0
20.494,11278,4040976,10514272,0
21.021,11278,4040976,10514272,0
21.544,11278,4040976,10514272,0
22.070,11278,4040976,10514272,0
22.595,11278,4040976,10514272,0
23.123,11278,4040976,10514272,0
23.648,11278,4040976,10514272,0
24.173,11278,4040976,10514272,0
24.699,11278,4040976,10514272,0
25.225,11278,4040976,10514272,0
25.749,11278,4040976,10514272,0
26.275,11278,4040976,10514272,0
26.801,11278,4040976,10514272,0
27.329,11278,4040976,10514272,0
27.852,11278,4040976,10514272,0
28.379,11278,4040976,10514272,0
28.906,11278,4040976,10514272,0
29.433,11278,4040976,10514272,0
29.960,11278,4040976,10514272,0
30.488,11278,4041356,10514272,0
31.014,11278,4041356,10514272,0
31.540,11278,4041356,10514272,0
32.062,11278,4041356,10514272,0
32.585,11278,4041356,10514272,0
33.109,11278,4041356,10514272,0
33.637,11278,4041356,10514272,0
34.161,11278,4041356,10514272,0
34.688,11278,4041356,10514272,0
35.215,11278,4041356,10514272,0
35.740,11278,4041356,10514272,0
36.266,11278,4041356,10514272,0
36.793,11278,4041356,10514272,0
37.320,11278,4041356,10514272,0
37.845,11278,4041356,10514272,0
38.371,11278,4041356,10514272,0
38.896,11278,4041356,10514272,0
39.425,11278,4041356,10514272,0
39.949,11278,4041356,10514272,0
40.476,11278,4041356,10514272,0
41.002,11278,4041356,10514272,0
41.530,11278,4041356,10514272,0
42.055,11278,4041356,10514272,0
42.578,11278,4041356,10514272,0
43.105,11278,4041356,10514272,0
43.632,11278,4041356,10514272,0
44.159,11278,4041356,10514272,0
44.683,11278,4041356,10514272,0
45.210,11278,4041356,10514272,0
45.736,11278,4041356,10514272,0
46.263,11278,4041356,10514272,0
46.789,11278,4041356,10514272,0
47.314,11278,4041356,10514272,0
47.841,11278,4041356,10514272,0
48.367,11278,4041356,10514272,0
48.890,11278,4041440,10514272,0
49.415,11278,4041440,10514272,0
49.941,11278,4041440,10514272,0
50.466,11278,4042484,10514272,0
50.990,11278,4042484,10514272,0
51.515,11278,4042484,10514272,0
52.041,11278,4042484,10514272,0
52.567,11278,4042484,10514272,0
53.094,11278,4042484,10514272,0
53.621,11278,4042568,10514272,0
54.149,11278,4042568,10514272,0
54.674,11278,4042568,10514272,0
55.197,11278,4042568,10514272,0
55.721,11278,4042568,10514272,0
56.245,11278,4042568,10514272,0
56.769,11278,4042568,10514272,0
57.296,11278,4042568,10514272,0
57.821,11278,4042568,10514272,0
58.348,11278,4042568,10514272,0
58.876,11278,4042568,10514272,0
