timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11224,3263084,10512616,0
0.527,11244,3950832,10512616,0
1.053,11272,3976164,10512616,0
1.576,11274,3977216,10512616,0
2.102,11276,3977224,10512616,0
2.630,11276,3977232,10512616,0
3.157,11276,3977232,10512616,0
3.681,11276,3977272,10512616,0
4.205,11276,3977272,10512616,0
4.728,11276,3977272,10512616,0
5.255,11276,3977272,10512616,0
5.778,11276,3977600,10512616,0
6.301,11276,3977600,10512616,0
6.825,11276,3977600,10512616,0
7.350,11276,3977600,10512616,0
7.878,11276,3977600,10512616,0
8.404,11276,3977600,10512616,0
8.930,11276,3977600,10512616,0
9.457,11276,3977600,10512616,0
9.984,11276,3977600,10512616,0
10.513,11276,3977600,10512616,0
11.039,11276,3977600,10512616,0
11.564,11276,3977984,10512616,0
12.088,11276,3981796,10512616,0
12.616,11276,3981796,10512616,0
13.144,11276,3981796,10512616,0
13.671,11276,3981796,10512616,0
14.197,11276,3981796,10512616,0
14.721,11276,3981796,10512616,0
15.246,11276,3981796,10512616,0
15.770,11276,3981796,10512616,0
16.298,11276,3981796,10512616,0
16.822,11276,3981796,10512616,0
17.349,11276,3981796,10512616,0
17.874,11276,3981796,10512616,0
18.401,11276,3981796,10512616,0
18.929,11276,3981796,10512616,0
19.456,11276,3981796,10512616,0
19.984,11276,3981796,10512616,0
20.513,11276,3981796,10512616,0
21.037,11276,3981796,10512616,0
21.560,11276,3981796,10512616,0
22.085,11276,3981796,10512616,0
22.610,11276,3981796,10512616,0
23.136,11276,3981796,10512616,0
23.662,11276,3981796,10512616,0
24.188,11276,3981796,10512616,0
24.715,11276,3981796,10512616,0
25.241,11276,3981796,10512616,0
25.765,11276,3981796,10512616,0
26.292,11276,3981796,10512616,0
26.820,11276,3981796,10512616,0
27.345,11276,3981796,10512616,0
27.873,11276,3981796,10512616,0
28.397,11276,3981796,10512616,0
28.921,11276,3981796,10512616,0
29.449,11276,3981796,10512616,0
29.973,11276,3981796,10512616,0
30.501,11276,3981796,10512616,0
31.026,11276,3981796,10512616,0
31.550,11276,3981796,10512616,0
32.076,11276,3981796,10512616,0
32.602,11276,3981796,10512616,0
33.127,11276,3981796,10512616,0
33.651,11276,3981796,10512616,0
34.180,11276,3981796,10512616,0
34.707,11276,3981940,10512616,0
