timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11160,3233540,10532944,0
0.525,11248,3588296,10532944,0
1.050,11282,3605892,10532944,0
1.575,11282,3605948,10532944,0
2.098,11302,4216880,10532944,0
2.620,11302,4216880,10532944,0
3.145,11302,4216880,10532944,0
3.670,11302,4216880,10532944,0
4.195,11302,4217276,10532944,0
4.720,11302,4217276,10532944,0
5.245,11302,4217276,10532944,0
5.770,11302,4217280,10532944,0
6.294,11302,4217668,10532944,0
6.819,11302,4217668,10532944,0
7.344,11302,4217668,10532944,0
7.870,11302,4218064,10532944,0
8.396,11302,4218064,10532944,0
8.921,11302,4218068,10532944,0
9.446,11302,4218068,10532944,0
9.971,11302,4218260,10532944,0
10.497,11302,4218260,10532944,0
11.022,11302,4269892,10532944,0
11.549,11302,4494096,10532944,0
12.073,11302,4790592,10532944,0
12.600,11330,4811972,10532944,0
13.125,11332,4812644,10532944,0
13.653,11332,4812828,10532944,0
14.180,11332,4813888,10532944,0
14.706,11332,4816668,10532944,0
15.230,11332,4818488,10532944,0
15.755,11332,4818488,10532944,0
16.283,11332,4818488,10532944,0
16.808,11332,4818492,10532944,0
17.335,11332,4818492,10532944,0
17.861,11332,4818492,10532944,0
18.389,11332,4818492,10532944,0
18.915,11332,4818492,10532944,0
