timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10918,1661216,10513828,0
0.525,10958,2172288,10513828,0
1.048,10958,2177320,10513828,0
1.573,10958,2177412,10513828,0
2.099,10958,2177412,10513828,0
2.627,10958,2180992,10513828,0
3.149,10958,2182068,10513828,0
3.672,10958,2182068,10513828,0
4.198,10958,2182068,10513828,0
4.725,10958,2182268,10513828,0
5.251,10958,2182268,10513828,0
5.778,10958,2182288,10513828,0
6.305,10958,2182288,10513828,0
6.831,10958,2182288,10513828,0
7.357,10958,2182840,10513828,0
7.883,10958,2182840,10513828,0
8.410,10958,2182840,10513828,0
8.937,10958,2182840,10513828,0
9.461,10958,2182840,10513828,0
9.984,10958,2182840,10513828,0
10.510,10958,2182840,10513828,0
11.036,10958,2182840,10513828,0
11.560,10958,2182840,10513828,0
12.084,10958,2182840,10513828,0
12.610,10958,2182840,10513828,0
13.138,10958,2182840,10513828,0
13.664,10958,2182840,10513828,0
14.189,10958,2182840,10513828,0
14.715,10958,2182840,10513828,0
15.241,10958,2182840,10513828,0
15.767,10958,2182840,10513828,0
16.290,10958,2182840,10513828,0
16.815,10958,2182840,10513828,0
17.342,10958,2182840,10513828,0
17.868,10958,2182840,10513828,0
18.392,10958,2182840,10513828,0
18.915,10958,2182940,10513828,0
19.439,10958,2182940,10513828,0
19.965,10958,2182940,10513828,0
20.491,10958,2182940,10513828,0
21.018,10958,2182940,10513828,0
21.544,10958,2182940,10513828,0
22.072,10958,2182940,10513828,0
22.599,10958,2182948,10513828,0
23.125,10958,2182948,10513828,0
23.652,10958,2183196,10513828,0
24.177,10958,2183196,10513828,0
24.701,10958,2183196,10513828,0
25.227,10958,2183196,10513828,0
25.755,10958,2183196,10513828,0
26.281,10958,2183196,10513828,0
26.804,10958,2183196,10513828,0
27.330,10958,2183196,10513828,0
27.857,10958,2183196,10513828,0
