timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10918,1666136,10512364,0
0.526,10938,2151828,10512364,0
1.053,10964,2174336,10512364,0
1.580,10964,2174340,10512364,0
2.107,10964,2174340,10512364,0
2.632,10964,2174340,10512364,0
3.158,10964,2174340,10512364,0
3.685,10964,2178220,10512364,0
4.207,10964,2178220,10512364,0
4.735,10964,2178544,10512364,0
5.260,10964,2178624,10512364,0
5.787,10964,2178624,10512364,0
6.314,10964,2178624,10512364,0
6.840,10964,2178656,10512364,0
7.366,10964,2178656,10512364,0
7.890,10964,2178656,10512364,0
8.414,10964,2178656,10512364,0
