timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10918,1633900,10528612,0
0.526,10940,1837788,10528612,0
1.050,10974,1855364,10528612,0
1.575,10974,1855424,10528612,0
2.101,10988,1980916,10528612,0
2.626,10988,1980920,10528612,0
3.151,10988,1980920,10528612,0
3.676,10988,2001392,10528612,0
4.201,10988,2001392,10528612,0
4.726,10988,2001392,10528612,0
5.251,10988,2001392,10528612,0
5.777,10988,2011632,10528612,0
6.302,10988,2011632,10528612,0
6.827,10988,2011632,10528612,0
7.354,10988,1981280,10528612,0
7.879,10988,1981280,10528612,0
8.402,10988,1981280,10528612,0
8.928,10988,1981280,10528612,0
9.453,10988,2001636,10528612,0
9.976,10990,2001700,10528612,0
10.503,10990,2179548,10528612,0
11.028,11012,2365396,10528612,0
