timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11206,3328428,10590460,0
0.525,11230,4104592,10590460,0
1.054,11258,4130056,10590460,0
1.580,11258,4130212,10590460,0
2.106,11258,4004892,10590460,0
2.629,11258,4132308,10590460,0
3.155,11258,4132308,10590460,0
3.683,11258,4132760,10590460,0
4.210,11258,4132760,10590460,0
4.738,11258,4132760,10590460,0
5.264,11258,4133144,10590460,0
5.790,11258,4133144,10590460,0
6.318,11258,4133144,10590460,0
6.840,11258,4133144,10590460,0
7.368,11258,4133144,10590460,0
7.895,11258,4133144,10590460,0
8.421,11258,4133144,10590460,0
8.948,11258,4133144,10590460,0
9.471,11258,4134080,10590460,0
9.999,11258,4134080,10590460,0
10.527,11258,4136892,10590460,0
11.055,11258,4138532,10590460,0
11.581,11258,4138532,10590460,0
12.109,11258,4138532,10590460,0
12.635,11258,4139004,10590460,0
13.162,11258,4139004,10590460,0
13.689,11258,4139004,10590460,0
14.216,11258,4139004,10590460,0
14.743,11258,4139004,10590460,0
15.269,11258,4139004,10590460,0
15.793,11258,4139004,10590460,0
16.320,11258,4139004,10590460,0
16.848,11258,4139004,10590460,0
17.372,11258,4139004,10590460,0
17.895,11258,4139004,10590460,0
18.420,11258,4139004,10590460,0
18.949,11258,4139004,10590460,0
19.476,11258,4139004,10590460,0
20.004,11258,4139004,10590460,0
20.532,11258,4139004,10590460,0
21.059,11258,4139004,10590460,0
21.584,11258,4139004,10590460,0
22.108,11258,4139004,10590460,0
22.636,11258,4139004,10590460,0
23.162,11258,4139004,10590460,0
23.688,11258,4139004,10590460,0
24.216,11258,4139004,10590460,0
24.740,11258,4139004,10590460,0
25.267,11258,4139004,10590460,0
25.791,11258,4139004,10590460,0
26.318,11258,4139004,10590460,0
26.843,11258,4139004,10590460,0
27.366,11258,4139004,10590460,0
27.893,11258,4139004,10590460,0
28.417,11258,4139004,10590460,0
28.941,11258,4139004,10590460,0
29.468,11258,4139004,10590460,0
29.991,11258,4139004,10590460,0
30.518,11258,4139004,10590460,0
31.043,11258,4139004,10590460,0
31.569,11258,4139976,10590460,0
32.097,11258,4139976,10590460,0
32.624,11258,4139976,10590460,0
33.150,11258,4139976,10590460,0
33.677,11258,4139976,10590460,0
34.205,11258,4139976,10590460,0
34.728,11258,4139976,10590460,0
35.253,11258,4139976,10590460,0
35.778,11258,4139984,10590460,0
36.304,11258,4139984,10590460,0
36.830,11258,4139984,10590460,0
37.354,11258,4139984,10590460,0
37.882,11258,4139984,10590460,0
38.411,11258,4139984,10590460,0
38.934,11258,4139984,10590460,0
39.459,11258,4140088,10590460,0
39.982,11258,4140088,10590460,0
40.509,11258,4140088,10590460,0
41.037,11258,4140088,10590460,0
41.560,11258,4140088,10590460,0
42.084,11258,4140088,10590460,0
42.610,11258,4140088,10590460,0
43.136,11258,4140088,10590460,0
43.663,11258,4140088,10590460,0
44.190,11258,4140088,10590460,0
44.715,11258,4140088,10590460,0
45.238,11258,4140088,10590460,0
45.761,11258,4140088,10590460,0
46.288,11258,4140088,10590460,0
46.813,11258,4140088,10590460,0
47.340,11258,4140088,10590460,0
47.866,11258,4140088,10590460,0
48.390,11258,4140088,10590460,0
48.915,11258,4140100,10590460,0
49.441,11258,4140100,10590460,0
49.965,11258,4140100,10590460,0
50.492,11258,4140100,10590460,0
51.016,11258,4140100,10590460,0
51.543,11258,4140100,10590460,0
52.067,11258,4145160,10590460,0
52.592,11258,4145160,10590460,0
53.119,11258,4145160,10590460,0
53.644,11258,4145160,10590460,0
54.172,11258,4145160,10590460,0
54.695,11258,4145160,10590460,0
55.221,11258,4145160,10590460,0
55.748,11258,4145160,10590460,0
56.274,11258,4145160,10590460,0
56.800,11258,4145160,10590460,0
57.325,11258,4145160,10590460,0
57.853,11258,4145160,10590460,0
58.379,11258,4145160,10590460,0
58.906,11258,4145160,10590460,0
59.433,11258,4145160,10590460,0
59.959,11258,4145160,10590460,0
60.487,11258,4145160,10590460,0
61.010,11258,4145160,10590460,0
61.534,11258,4145160,10590460,0
62.060,11258,4145160,10590460,0
62.588,11258,4154016,10590460,0
63.111,11258,4154016,10590460,0
63.638,11258,4154016,10590460,0
64.163,11258,4154016,10590460,0
64.688,11258,4154016,10590460,0
65.212,11258,4154016,10590460,0
65.738,11258,4154016,10590460,0
66.263,11258,4154016,10590460,0
66.791,11258,4154016,10590460,0
67.318,11258,4154016,10590460,0
67.841,11258,4154016,10590460,0
68.369,11258,4154016,10590460,0
68.897,11258,4154016,10590460,0
69.422,11258,4154016,10590460,0
69.949,11258,4154016,10590460,0
70.476,11258,4154016,10590460,0
71.001,11258,4154016,10590460,0
71.525,11258,4154016,10590460,0
72.051,11258,4154016,10590460,0
72.578,11258,4159916,10590460,0
73.105,11258,4159916,10590460,0
73.633,11258,4159916,10590460,0
74.160,11258,4159916,10590460,0
74.688,11258,4159916,10590460,0
75.215,11258,4159916,10590460,0
75.741,11258,4159916,10590460,0
76.268,11258,4159916,10590460,0
76.792,11258,4159916,10590460,0
77.319,11258,4159916,10590460,0
77.845,11258,4159916,10590460,0
78.372,11258,4159916,10590460,0
78.895,11258,4159916,10590460,0
79.420,11258,4159916,10590460,0
79.948,11258,4159916,10590460,0
80.475,11258,4159928,10590460,0
81.003,11258,4159928,10590460,0
81.526,11258,4159928,10590460,0
82.052,11258,4159928,10590460,0
82.579,11258,4159928,10590460,0
83.103,11258,4166136,10590460,0
83.629,11258,4166136,10590460,0
84.157,11258,4166136,10590460,0
84.685,11258,4166136,10590460,0
85.212,11258,4166136,10590460,0
85.736,11258,4166136,10590460,0
86.259,11258,4166136,10590460,0
86.785,11258,4166136,10590460,0
87.313,11258,4166136,10590460,0
87.839,11258,4166136,10590460,0
88.362,11258,4166136,10590460,0
88.888,11258,4166136,10590460,0
89.415,11258,4166136,10590460,0
89.941,11258,4166136,10590460,0
90.468,11258,4166136,10590460,0
90.997,11258,4166136,10590460,0
91.521,11258,4166136,10590460,0
92.048,11258,4166136,10590460,0
92.574,11258,4166136,10590460,0
93.103,11258,4166572,10590460,0
93.630,11258,4166572,10590460,0
94.155,11258,4166572,10590460,0
94.679,11258,4166572,10590460,0
95.205,11258,4166572,10590460,0
95.728,11258,4166572,10590460,0
96.255,11258,4166572,10590460,0
96.782,11258,4166572,10590460,0
97.309,11258,4166572,10590460,0
97.832,11258,4166572,10590460,0
98.359,11258,4166572,10590460,0
98.886,11258,4166572,10590460,0
99.410,11258,4166572,10590460,0
99.938,11258,4166572,10590460,0
100.462,11258,4166572,10590460,0
100.986,11258,4166624,10590460,0
101.512,11258,4166624,10590460,0
102.035,11258,4166624,10590460,0
102.559,11258,4166624,10590460,0
103.086,11258,4166624,10590460,0
103.612,11258,4166624,10590460,0
104.138,11258,4166624,10590460,0
104.666,11258,4166908,10590460,0
105.193,11258,4166908,10590460,0
105.721,11258,4166908,10590460,0
106.249,11258,4166908,10590460,0
106.776,11258,4166908,10590460,0
107.301,11258,4166908,10590460,0
107.829,11258,4166908,10590460,0
108.355,11258,4166908,10590460,0
108.882,11258,4166908,10590460,0
109.408,11258,4166908,10590460,0
109.936,11258,4166908,10590460,0
110.461,11258,4166908,10590460,0
110.987,11258,4166908,10590460,0
111.511,11258,4166908,10590460,0
112.039,11258,4166908,10590460,0
