timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10490,1755176,10591512,0
0.527,10530,2291052,10591512,0
1.052,10530,2301384,10591512,0
1.577,10532,2301560,10591512,0
2.104,10532,2301564,10591512,0
2.629,10532,2301564,10591512,0
3.155,10532,2301568,10591512,0
3.680,10532,2301572,10591512,0
4.207,10532,2301572,10591512,0
4.732,10532,2301576,10591512,0
5.257,10532,2301576,10591512,0
5.784,10532,2301580,10591512,0
6.307,10532,2301580,10591512,0
6.834,10532,2301580,10591512,0
7.359,10532,2304452,10591512,0
7.886,10532,2304452,10591512,0
8.411,10532,2304456,10591512,0
8.934,10532,2304540,10591512,0
9.460,10532,2304540,10591512,0
9.987,10532,2304544,10591512,0
10.512,10532,2304544,10591512,0
11.037,10532,2304548,10591512,0
11.560,10532,2304548,10591512,0
12.086,10532,2304552,10591512,0
12.608,10532,2304552,10591512,0
13.135,10532,2304552,10591512,0
13.661,10532,2304608,10591512,0
14.183,10532,2304608,10591512,0
14.707,10532,2304608,10591512,0
15.231,10532,2396132,10591512,0
15.755,10532,2396132,10591512,0
16.277,10532,2396132,10591512,0
16.799,10532,2396132,10591512,0
17.324,10532,2396132,10591512,0
