timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10938,1742576,10590664,0
0.524,10980,2289924,10590664,0
1.048,10980,2293132,10590664,0
1.573,10980,2295116,10590664,0
2.100,10980,2295120,10590664,0
2.626,10980,2295800,10590664,0
3.151,10980,2295800,10590664,0
3.676,10980,2295808,10590664,0
4.200,10980,2295808,10590664,0
4.725,10980,2295812,10590664,0
5.252,10980,2295812,10590664,0
5.779,10980,2295904,10590664,0
6.304,10980,2295904,10590664,0
6.831,10980,2295904,10590664,0
7.357,10980,2295908,10590664,0
7.883,10980,2296160,10590664,0
8.410,10980,2296164,10590664,0
8.936,10980,2296788,10590664,0
9.462,10980,2296788,10590664,0
9.987,10980,2296792,10590664,0
10.514,10980,2296792,10590664,0
11.039,10980,2296796,10590664,0
11.564,10980,2296796,10590664,0
12.091,10980,2296800,10590664,0
12.617,10980,2296800,10590664,0
13.142,10980,2296800,10590664,0
13.669,10980,2296804,10590664,0
14.196,10980,2296804,10590664,0
14.724,10980,2296808,10590664,0
15.251,10980,2296808,10590664,0
15.774,10980,2296808,10590664,0
16.301,10980,2296848,10590664,0
16.825,10980,2296848,10590664,0
17.352,10980,2296848,10590664,0
17.879,10980,2296848,10590664,0
18.407,10980,2296848,10590664,0
18.930,10980,2296848,10590664,0
19.457,10980,2296848,10590664,0
19.984,10980,2296848,10590664,0
20.512,10980,2296848,10590664,0
21.037,10980,2296848,10590664,0
21.564,10980,2296848,10590664,0
22.087,10980,2296848,10590664,0
22.612,10980,2296848,10590664,0
23.137,10980,2296848,10590664,0
23.664,10980,2296848,10590664,0
24.189,10980,2296848,10590664,0
24.715,10980,2296848,10590664,0
25.242,10980,2296848,10590664,0
25.768,10980,2296848,10590664,0
26.295,10980,2298832,10590664,0
26.822,10980,2298832,10590664,0
27.345,10980,2298888,10590664,0
27.871,10980,2298888,10590664,0
28.394,10980,2298888,10590664,0
28.918,10980,2390412,10590664,0
29.443,10980,2390412,10590664,0
29.970,10980,2390412,10590664,0
30.494,10980,2390412,10590664,0
31.016,10980,2390412,10590664,0
