timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11206,3332992,10592276,0
0.525,11230,4110864,10592276,0
1.053,11258,4135276,10592276,0
1.577,11258,4135436,10592276,0
2.104,11258,4030320,10592276,0
2.631,11258,4137548,10592276,0
3.157,11258,4137552,10592276,0
3.683,11258,4137912,10592276,0
4.209,11258,4137912,10592276,0
4.732,11258,4137912,10592276,0
5.259,11258,4138492,10592276,0
5.784,11258,4138492,10592276,0
6.312,11258,4138496,10592276,0
6.837,11258,4138496,10592276,0
7.362,11258,4138500,10592276,0
7.888,11258,4138500,10592276,0
8.413,11258,4138500,10592276,0
8.939,11258,4138504,10592276,0
9.466,11258,4138968,10592276,0
9.994,11258,4138972,10592276,0
10.521,11258,4141884,10592276,0
11.047,11258,4141884,10592276,0
11.575,11258,4141888,10592276,0
12.097,11258,4141888,10592276,0
12.625,11258,4142456,10592276,0
13.152,11258,4142460,10592276,0
13.680,11258,4142460,10592276,0
14.206,11258,4142464,10592276,0
14.728,11258,4142464,10592276,0
15.254,11258,4142464,10592276,0
15.780,11258,4142468,10592276,0
16.308,11258,4142468,10592276,0
16.832,11258,4142472,10592276,0
17.358,11258,4142472,10592276,0
17.882,11258,4142472,10592276,0
18.410,11258,4142472,10592276,0
18.937,11258,4142472,10592276,0
19.463,11258,4142472,10592276,0
19.991,11258,4142472,10592276,0
20.515,11258,4142472,10592276,0
21.042,11258,4142472,10592276,0
21.569,11258,4142472,10592276,0
22.095,11258,4142472,10592276,0
22.618,11258,4142472,10592276,0
23.145,11258,4142472,10592276,0
23.672,11258,4142472,10592276,0
24.200,11258,4142472,10592276,0
24.728,11258,4142472,10592276,0
25.254,11258,4142472,10592276,0
25.781,11258,4142472,10592276,0
26.305,11258,4142472,10592276,0
26.830,11258,4142472,10592276,0
27.357,11258,4142472,10592276,0
27.883,11258,4142472,10592276,0
28.407,11258,4142472,10592276,0
28.931,11258,4142472,10592276,0
29.458,11258,4142472,10592276,0
29.983,11258,4142472,10592276,0
30.510,11258,4142472,10592276,0
31.033,11258,4142472,10592276,0
31.559,11258,4143444,10592276,0
32.087,11258,4143444,10592276,0
32.613,11258,4143444,10592276,0
33.139,11258,4143444,10592276,0
33.666,11258,4143444,10592276,0
34.192,11258,4143444,10592276,0
34.717,11258,4143444,10592276,0
35.245,11258,4143444,10592276,0
35.770,11258,4143600,10592276,0
36.294,11258,4143600,10592276,0
36.819,11258,4143600,10592276,0
37.346,11258,4143600,10592276,0
37.872,11258,4143600,10592276,0
38.399,11258,4143600,10592276,0
38.926,11258,4143608,10592276,0
39.451,11258,4143608,10592276,0
39.979,11258,4143608,10592276,0
40.507,11258,4143608,10592276,0
41.031,11258,4143740,10592276,0
41.556,11258,4143740,10592276,0
42.080,11258,4143740,10592276,0
42.605,11258,4143740,10592276,0
43.132,11258,4143740,10592276,0
43.659,11258,4143740,10592276,0
44.184,11258,4143740,10592276,0
44.711,11258,4143740,10592276,0
45.239,11258,4143740,10592276,0
45.764,11258,4143740,10592276,0
46.292,11258,4143740,10592276,0
46.818,11258,4143740,10592276,0
47.343,11258,4143740,10592276,0
47.870,11258,4143740,10592276,0
48.397,11258,4143740,10592276,0
48.925,11258,4143740,10592276,0
49.451,11258,4143740,10592276,0
49.976,11258,4143740,10592276,0
50.504,11258,4143740,10592276,0
51.030,11258,4143740,10592276,0
51.557,11258,4143740,10592276,0
52.085,11258,4143740,10592276,0
52.612,11258,4143740,10592276,0
53.140,11258,4143740,10592276,0
53.667,11258,4143740,10592276,0
54.194,11258,4143740,10592276,0
54.721,11258,4143740,10592276,0
55.247,11258,4143740,10592276,0
55.776,11258,4143740,10592276,0
56.303,11258,4143740,10592276,0
56.828,11258,4142524,10592276,0
57.356,11258,4142524,10592276,0
57.883,11258,4142524,10592276,0
58.411,11258,4142524,10592276,0
58.938,11258,4142524,10592276,0
59.461,11258,4142524,10592276,0
59.988,11258,4142524,10592276,0
60.515,11258,4142524,10592276,0
61.040,11258,4142524,10592276,0
61.566,11258,4142524,10592276,0
62.093,11258,4142544,10592276,0
62.620,11258,4142544,10592276,0
63.147,11258,4142544,10592276,0
63.670,11258,4142544,10592276,0
64.196,11258,4142544,10592276,0
64.721,11258,4142544,10592276,0
65.245,11258,4142544,10592276,0
65.772,11258,4142544,10592276,0
66.295,11258,4142544,10592276,0
66.820,11258,4142544,10592276,0
67.345,11258,4142544,10592276,0
67.873,11258,4142544,10592276,0
68.398,11258,4142544,10592276,0
68.921,11258,4142544,10592276,0
69.446,11258,4142544,10592276,0
69.974,11258,4142544,10592276,0
70.501,11258,4142544,10592276,0
71.028,11258,4142544,10592276,0
71.552,11258,4142544,10592276,0
72.079,11258,4142544,10592276,0
72.603,11258,4142544,10592276,0
73.127,11258,4142632,10592276,0
73.653,11258,4142632,10592276,0
74.176,11258,4142632,10592276,0
74.701,11258,4142632,10592276,0
75.229,11258,4142632,10592276,0
75.753,11258,4142632,10592276,0
76.280,11258,4142632,10592276,0
76.808,11258,4142632,10592276,0
77.334,11258,4142632,10592276,0
77.860,11258,4142632,10592276,0
78.386,11258,4142632,10592276,0
78.914,11258,4142632,10592276,0
79.442,11258,4142632,10592276,0
79.968,11258,4142632,10592276,0
80.496,11258,4142832,10592276,0
81.021,11258,4142832,10592276,0
81.547,11258,4142832,10592276,0
82.074,11258,4142832,10592276,0
82.600,11258,4142832,10592276,0
83.126,11258,4142832,10592276,0
83.651,11258,4142832,10592276,0
84.178,11258,4142832,10592276,0
84.704,11258,4142832,10592276,0
85.231,11258,4142832,10592276,0
85.758,11258,4142832,10592276,0
86.283,11258,4142832,10592276,0
86.812,11258,4142832,10592276,0
87.338,11258,4142832,10592276,0
87.866,11258,4142832,10592276,0
88.389,11258,4142832,10592276,0
88.912,11258,4142832,10592276,0
