timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11206,3307588,10597164,0
0.526,11088,4021348,10597164,0
1.051,11116,4108244,10597164,0
1.579,11116,4108408,10597164,0
2.106,11116,4108420,10597164,0
2.633,11116,4109396,10597164,0
3.158,11116,4110524,10597164,0
3.680,11116,4111076,10597164,0
4.205,11116,4111076,10597164,0
4.734,11116,4111076,10597164,0
5.261,11116,4111272,10597164,0
5.788,11116,4111272,10597164,0
6.313,11116,4111276,10597164,0
6.837,11116,4111276,10597164,0
7.364,11116,4111276,10597164,0
7.891,11116,4111280,10597164,0
8.420,11116,4111280,10597164,0
8.948,11116,4111284,10597164,0
9.475,11116,4112032,10597164,0
10.000,11116,4112032,10597164,0
10.525,11116,4114848,10597164,0
11.052,11116,4114848,10597164,0
11.575,11116,4114852,10597164,0
12.099,11116,4114852,10597164,0
12.623,11116,4115512,10597164,0
13.148,11116,4115516,10597164,0
13.671,11116,4115516,10597164,0
14.197,11116,4115520,10597164,0
14.724,11116,4115520,10597164,0
15.250,11116,4115520,10597164,0
15.776,11116,4115524,10597164,0
16.302,11116,4115524,10597164,0
16.830,11116,4115528,10597164,0
17.358,11116,4115528,10597164,0
17.884,11116,4115528,10597164,0
18.412,11116,4115528,10597164,0
18.938,11116,4115528,10597164,0
19.465,11116,4115528,10597164,0
19.989,11116,4115528,10597164,0
20.517,11116,4115528,10597164,0
21.044,11116,4115528,10597164,0
21.568,11116,4115528,10597164,0
22.093,11116,4115528,10597164,0
22.617,11116,4115528,10597164,0
23.143,11116,4115528,10597164,0
23.671,11116,4115528,10597164,0
24.198,11116,4115528,10597164,0
24.726,11116,4115528,10597164,0
25.254,11116,4115528,10597164,0
25.777,11116,4115528,10597164,0
26.301,11116,4115528,10597164,0
26.825,11116,4115528,10597164,0
27.351,11116,4115528,10597164,0
27.879,11116,4115528,10597164,0
28.403,11116,4115528,10597164,0
28.930,11116,4115528,10597164,0
29.457,11116,4115528,10597164,0
29.980,11116,4115528,10597164,0
30.504,11116,4115528,10597164,0
31.033,11116,4115528,10597164,0
31.559,11116,4116508,10597164,0
32.087,11116,4116508,10597164,0
32.611,11116,4116508,10597164,0
33.137,11116,4116508,10597164,0
33.663,11116,4116508,10597164,0
34.188,11116,4116508,10597164,0
34.716,11116,4116508,10597164,0
35.242,11116,4116508,10597164,0
35.768,11116,4116576,10597164,0
36.294,11116,4116576,10597164,0
36.822,11116,4116576,10597164,0
37.346,11116,4116576,10597164,0
37.871,11116,4116576,10597164,0
38.399,11116,4116576,10597164,0
38.924,11116,4116576,10597164,0
39.449,11116,4116656,10597164,0
39.972,11116,4116656,10597164,0
40.496,11116,4116656,10597164,0
41.019,11116,4116656,10597164,0
41.547,11116,4116656,10597164,0
42.073,11116,4116656,10597164,0
42.599,11116,4116656,10597164,0
43.127,11116,4116656,10597164,0
43.651,11116,4116656,10597164,0
44.178,11116,4116656,10597164,0
44.706,11116,4116656,10597164,0
45.233,11116,4116656,10597164,0
45.761,11116,4116656,10597164,0
46.284,11116,4116656,10597164,0
46.809,11116,4116656,10597164,0
47.337,11116,4116656,10597164,0
47.859,11116,4116656,10597164,0
48.385,11116,4116776,10597164,0
48.912,11116,4116776,10597164,0
49.439,11116,4116776,10597164,0
49.965,11116,4116776,10597164,0
50.492,11116,4116776,10597164,0
51.019,11116,4116776,10597164,0
51.542,11116,4116776,10597164,0
52.065,11116,4116776,10597164,0
52.592,11116,4116776,10597164,0
53.119,11116,4116776,10597164,0
53.644,11116,4116776,10597164,0
54.171,11116,4116776,10597164,0
54.698,11116,4116776,10597164,0
55.225,11116,4116776,10597164,0
55.750,11116,4116776,10597164,0
56.278,11116,4116776,10597164,0
56.805,11116,4116776,10597164,0
57.332,11116,4116776,10597164,0
57.856,11116,4116776,10597164,0
58.384,11116,4116776,10597164,0
58.912,11116,4116776,10597164,0
59.440,11116,4116776,10597164,0
59.966,11116,4116776,10597164,0
60.493,11116,4116776,10597164,0
61.021,11116,4116776,10597164,0
61.545,11116,4116776,10597164,0
62.071,11116,4116776,10597164,0
62.597,11116,4116776,10597164,0
63.124,11116,4116776,10597164,0
63.652,11116,4116776,10597164,0
64.179,11116,4116776,10597164,0
64.705,11116,4116776,10597164,0
65.230,11116,4116776,10597164,0
65.754,11116,4116776,10597164,0
66.278,11116,4116776,10597164,0
66.806,11116,4116776,10597164,0
67.333,11116,4116776,10597164,0
67.859,11116,4116776,10597164,0
68.383,11116,4116776,10597164,0
68.910,11116,4116776,10597164,0
69.434,11116,4116776,10597164,0
69.962,11116,4116860,10597164,0
70.487,11116,4116860,10597164,0
71.013,11116,4116860,10597164,0
71.538,11116,4116860,10597164,0
72.065,11116,4116860,10597164,0
72.588,11116,4116860,10597164,0
73.114,11116,4116868,10597164,0
