timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10826,1715516,10591688,0
0.525,10868,2250960,10591688,0
1.050,10868,2255912,10591688,0
1.575,10868,2256004,10591688,0
2.100,10868,2256304,10591688,0
2.625,10868,2260508,10591688,0
3.147,10868,2260508,10591688,0
3.675,10868,2261068,10591688,0
4.197,10868,2261068,10591688,0
4.722,10868,2261552,10591688,0
5.248,10868,2261556,10591688,0
5.773,10868,2261556,10591688,0
6.297,10868,2261560,10591688,0
6.824,10868,2261560,10591688,0
7.350,10868,2261564,10591688,0
7.876,10868,2261564,10591688,0
8.402,10868,2261564,10591688,0
8.927,10868,2261568,10591688,0
9.453,10868,2261568,10591688,0
9.976,10868,2261572,10591688,0
10.501,10868,2261572,10591688,0
11.028,10868,2261576,10591688,0
11.555,10868,2261576,10591688,0
12.082,10868,2261576,10591688,0
12.607,10868,2261580,10591688,0
13.132,10868,2261580,10591688,0
13.659,10868,2261584,10591688,0
14.185,10868,2261584,10591688,0
14.712,10868,2261584,10591688,0
15.236,10868,2261588,10591688,0
15.761,10868,2261588,10591688,0
16.285,10868,2261592,10591688,0
16.812,10868,2261592,10591688,0
17.338,10868,2261592,10591688,0
17.862,10868,2261592,10591688,0
18.388,10868,2261592,10591688,0
18.914,10868,2261592,10591688,0
19.438,10868,2261592,10591688,0
19.962,10868,2261592,10591688,0
20.484,10868,2261592,10591688,0
21.010,10868,2261592,10591688,0
21.534,10868,2261592,10591688,0
22.061,10868,2261592,10591688,0
22.586,10868,2261592,10591688,0
23.110,10868,2261592,10591688,0
23.637,10868,2261592,10591688,0
24.164,10868,2261592,10591688,0
24.688,10868,2261592,10591688,0
25.213,10868,2261796,10591688,0
25.740,10868,2261796,10591688,0
26.266,10868,2261796,10591688,0
26.793,10868,2261796,10591688,0
27.319,10868,2261808,10591688,0
27.845,10868,2261880,10591688,0
