timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,10702,1667592,10591536,0
0.525,10648,2209900,10591536,0
1.048,10648,2214880,10591536,0
1.574,10648,2214968,10591536,0
2.099,10648,2215260,10591536,0
2.626,10648,2218740,10591536,0
3.152,10648,2219536,10591536,0
3.678,10648,2219640,10591536,0
4.204,10648,2220004,10591536,0
4.732,10648,2220260,10591536,0
5.257,10648,2220488,10591536,0
5.784,10648,2220488,10591536,0
6.308,10648,2220492,10591536,0
6.835,10648,2220492,10591536,0
7.361,10648,2220496,10591536,0
7.888,10648,2220496,10591536,0
8.412,10648,2220496,10591536,0
8.935,10648,2220500,10591536,0
9.461,10648,2220500,10591536,0
9.984,10648,2220504,10591536,0
10.508,10648,2220592,10591536,0
11.034,10648,2220592,10591536,0
11.561,10648,2220596,10591536,0
12.086,10648,2220596,10591536,0
12.612,10648,2220884,10591536,0
13.138,10648,2220884,10591536,0
13.664,10648,2220888,10591536,0
14.187,10648,2220888,10591536,0
14.713,10648,2220888,10591536,0
15.239,10648,2220892,10591536,0
15.763,10648,2220892,10591536,0
16.288,10648,2220896,10591536,0
16.815,10648,2220896,10591536,0
17.343,10648,2220896,10591536,0
17.869,10648,2220896,10591536,0
18.393,10648,2220896,10591536,0
18.917,10648,2220896,10591536,0
19.442,10648,2220896,10591536,0
19.967,10648,2220896,10591536,0
20.494,10648,2220896,10591536,0
21.019,10648,2220896,10591536,0
21.546,10648,2220896,10591536,0
22.068,10648,2220896,10591536,0
22.595,10648,2220896,10591536,0
23.122,10648,2220896,10591536,0
23.648,10648,2220896,10591536,0
24.174,10648,2220896,10591536,0
24.700,10648,2220896,10591536,0
25.226,10648,2220896,10591536,0
25.753,10648,2220896,10591536,0
26.279,10648,2220896,10591536,0
26.806,10648,2220896,10591536,0
27.330,10648,2220932,10591536,0
27.856,10648,2220932,10591536,0
