timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11068,1678708,10529412,0
0.525,11108,2200312,10529412,0
1.050,11108,2203472,10529412,0
1.577,11108,2205396,10529412,0
2.102,11108,2206236,10529412,0
2.627,11108,2210332,10529412,0
3.152,11108,2210332,10529412,0
3.678,11108,2210452,10529412,0
4.204,11108,2210452,10529412,0
4.730,11108,2210452,10529412,0
5.256,11108,2210452,10529412,0
5.779,11108,2210452,10529412,0
6.306,11108,2210452,10529412,0
6.830,11108,2210616,10529412,0
7.356,11108,2210796,10529412,0
7.878,11108,2210796,10529412,0
8.404,11108,2210908,10529412,0
8.931,11108,2212456,10529412,0
9.457,11108,2212456,10529412,0
9.979,11108,2212456,10529412,0
10.505,11108,2212456,10529412,0
11.029,11108,2212456,10529412,0
11.556,11108,2212456,10529412,0
12.080,11108,2212456,10529412,0
12.606,11108,2212456,10529412,0
13.133,11108,2212456,10529412,0
13.659,11108,2212456,10529412,0
14.185,11108,2212460,10529412,0
14.712,11108,2212460,10529412,0
15.238,11108,2212460,10529412,0
15.766,11108,2212460,10529412,0
16.293,11108,2212460,10529412,0
16.820,11108,2212460,10529412,0
17.346,11108,2212460,10529412,0
17.872,11108,2212460,10529412,0
18.398,11108,2212620,10529412,0
18.924,11108,2212620,10529412,0
19.451,11108,2212620,10529412,0
19.976,11108,2212620,10529412,0
20.503,11108,2212620,10529412,0
21.030,11108,2212620,10529412,0
21.555,11108,2212620,10529412,0
22.082,11108,2212688,10529412,0
22.610,11108,2212688,10529412,0
23.136,11108,2212744,10529412,0
23.662,11108,2212744,10529412,0
24.186,11108,2212744,10529412,0
24.712,11108,2304268,10529412,0
25.237,11108,2304268,10529412,0
25.762,11108,2304268,10529412,0
26.287,11108,2304268,10529412,0
26.813,11108,2304268,10529412,0
