timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11068,1690004,10528712,0
0.525,11090,2190172,10528712,0
1.049,11108,2209792,10528712,0
1.574,11108,2209920,10528712,0
2.099,11108,2211820,10528712,0
2.625,11108,2212768,10528712,0
3.149,11108,2216736,10528712,0
3.676,11108,2216740,10528712,0
4.201,11108,2216832,10528712,0
4.728,11108,2216832,10528712,0
5.253,11108,2216836,10528712,0
5.780,11108,2216872,10528712,0
6.304,11108,2216876,10528712,0
6.830,11108,2216876,10528712,0
7.353,11108,2216876,10528712,0
7.879,11108,2217120,10528712,0
8.405,11108,2217120,10528712,0
8.929,11108,2217124,10528712,0
9.455,11108,2217300,10528712,0
9.981,11108,2217300,10528712,0
10.506,11108,2217304,10528712,0
11.030,11108,2217304,10528712,0
11.555,11108,2217376,10528712,0
12.081,11108,2217380,10528712,0
12.607,11108,2217380,10528712,0
13.133,11108,2217384,10528712,0
13.658,11108,2217384,10528712,0
14.182,11108,2217384,10528712,0
14.709,11108,2217388,10528712,0
15.235,11108,2217388,10528712,0
15.761,11108,2217508,10528712,0
16.288,11108,2217512,10528712,0
16.814,11108,2217512,10528712,0
17.341,11108,2217512,10528712,0
17.865,11108,2217528,10528712,0
18.388,11108,2217528,10528712,0
18.915,11108,2217528,10528712,0
19.441,11108,2217528,10528712,0
19.964,11108,2217528,10528712,0
20.490,11108,2217528,10528712,0
21.017,11108,2217528,10528712,0
21.543,11108,2217528,10528712,0
22.069,11108,2217528,10528712,0
22.597,11108,2217528,10528712,0
23.122,11108,2217528,10528712,0
23.647,11108,2217528,10528712,0
24.172,11108,2217528,10528712,0
24.698,11108,2217528,10528712,0
25.221,11108,2217528,10528712,0
25.748,11108,2217528,10528712,0
26.276,11108,2217528,10528712,0
26.801,11108,2217528,10528712,0
27.327,11108,2217528,10528712,0
27.853,11108,2217528,10528712,0
28.380,11108,2217592,10528712,0
28.907,11108,2217592,10528712,0
29.431,11108,2217592,10528712,0
29.954,11108,2217592,10528712,0
30.477,11108,2218064,10528712,0
31.002,11108,2218064,10528712,0
